,GEOID10,canrate_x,mean,canrate_y,residual
137,55085971001,0.28,2.703745345875604,0.28,1.4689506047595056
138,55085970101,0.07,2.1362804378938867,0.07,1.5421081569996549
139,55085971002,0.19,2.054593161458821,0.19,1.9062567795727592
140,55085970102,0.46,2.641341873252472,0.46,1.955046096589696
141,55085970800,0.06,1.2334097090737135,0.06,2.4214404403083245
142,55085971400,0.01,2.807719535434369,0.01,0.7294383863901528
143,55085971100,0.03,2.664021513606078,0.03,0.9202132992414502
144,55085970900,0.11,1.5554147097896895,0.11,2.2171276671498648
145,55085971500,0.0,2.7090728582449293,0.0,0.8045466180680894
146,55023960500,0.01,4.353798804075821,0.01,-0.8166408822512996
147,55011960200,0.01,4.960373288412955,0.01,-1.4232153665884335
148,55023960200,0.15,4.1471385321652114,0.15,-0.2804423731796444
149,55023960400,0.14,4.292834757171204,0.14,-0.44967704369714
150,55023960300,0.16,4.434060816356918,0.16,-0.5438262118598471
151,55023960100,0.11,4.258724159672232,0.11,-0.4861817827326775
152,55011960400,0.02,4.668857505465364,0.02,-1.1081611381293386
153,55023960600,0.0,4.114462934514528,0.0,-0.600843458201509
154,55011960100,0.12,4.773887347177279,0.12,-0.9778065247262218
155,55011960300,0.1,5.024969329358568,0.1,-1.2759653979305172
156,55085970500,0.03,2.584026487006837,0.03,1.0002083258406915
157,55085970400,0.03,2.909363116323948,0.03,0.6748716965235801
158,55085971300,0.03,0.833315690048039,0.03,2.7509191227994894
159,55095960600,0.06,3.346210964194172,0.06,0.3086391851878662
160,55095961000,0.06,4.493302114704572,0.06,-0.838451965322534
161,55059002906,0.05,4.312860793754703,0.05,-0.6815490898841685
162,55059000700,0.01,4.956162987685785,0.01,-1.419005065861263
163,55059000500,0.01,4.317320527701543,0.01,-0.7801626058770217
164,55059000400,0.01,4.538219588143485,0.01,-1.001061666318963
165,55059002700,0.18,4.285128806267199,0.18,-0.3478173107471218
166,55059002800,0.39,4.263076123722728,0.39,0.1685427275389175
167,55059002000,0.03,4.4130080688831415,0.03,-0.8287732560356131
168,55011960500,0.12,4.636848760789915,0.12,-0.8407679383388578
169,55095961100,0.17,4.69153335633365,0.17,-0.7777603063250766
170,55095960200,0.07,2.4987040458242062,0.07,1.1796845490693353
171,55095960800,0.08,4.529252712744953,0.08,-0.8273256723399087
172,55095960100,0.2,2.6878646525913,0.2,1.296523733951784
173,55095960700,0.07,3.428844679036789,0.07,0.2495439158567527
174,55095960500,0.06,3.8716717224814974,0.06,-0.2168215730994593
175,55095960300,0.13,3.125129599431802,0.13,0.6944896685307591
176,55095960900,0.12,4.796630815078652,0.12,-1.0005499926275947
177,55059001900,0.01,4.143114359482475,0.01,-0.6059564376579529
178,55059001000,0.02,4.1819542816707065,0.02,-0.6212579143346812
179,55059000300,0.01,4.101794668968688,0.01,-0.5646367471441667
180,55059000100,0.02,3.609201365930063,0.02,-0.0485049985940375
181,55059003001,0.06,4.663489108233108,0.06,-1.00863895885107
182,55059003002,0.07,4.606704734548738,0.07,-0.9283161396551964
183,55059002903,0.07,4.892027652101818,0.07,-1.213639057208276
184,55059002904,0.07,5.233817609640268,0.07,-1.555429014746727
185,55059002905,0.03,4.557288182748331,0.03,-0.9730533699008026
186,55059002602,0.11,4.914718626895334,0.11,-1.1421762499557793
187,55059002601,0.02,4.738749976205353,0.02,-1.178053608869328
188,55059000602,0.01,4.872188116709391,0.01,-1.3350301948848693
189,55059000601,0.11,4.162048452511066,0.11,-0.389506075571512
190,55059002500,0.01,5.3120575490987525,0.01,-1.7748996272742308
191,55059002400,0.01,4.940861284732819,0.01,-1.403703362908297
192,55059001600,0.01,4.406080722808838,0.01,-0.8689228009843162
193,55059001500,0.01,4.705821514129639,0.01,-1.168663592305117
194,55059001400,0.01,5.147675929925381,0.01,-1.610518008100859
195,55033970800,0.01,4.518282394598026,0.01,-0.9811244727735048
196,55033970700,0.01,4.360730831344406,0.01,-0.8235729095198843
197,55033970100,0.26,4.341923909184334,0.26,-0.2163048495722304
198,55033970600,0.15,4.424061590801148,0.15,-0.5573654318155805
199,55141011500,0.07,1.9879279099184384,0.07,1.6904606849751032
200,55141011400,0.01,0.9466358272854342,0.01,2.590522094539088
201,55141011300,0.02,0.6069268871397868,0.02,2.953769480196238
202,55141010700,0.36,1.3455005229308066,0.36,3.015502991796329
203,55141010500,0.01,2.128485174321417,0.01,1.408672747503105
204,55141010400,0.01,1.7391686324487652,0.01,1.7979892893757563
205,55141011100,0.12,2.6032031144735948,0.12,1.1928777079774626
206,55141011000,0.06,2.6113002399308747,0.06,1.043549909451163
